"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Abilene Christian",68.934,153,67.8361,150,98.2806,341,101.093,312,106.582,126,107.636,140,-6.5433,242
"2026","Air Force",67.3965,227,66.3007,241,91.3003,363,95.6684,352,118.661,352,115.561,301,-19.8927,345
"2026","Akron",71.223,44,70.3094,32,121.92,6,118.844,54,104.561,83,106.053,114,12.7904,64
"2026","Alabama",74.6151,5,73.1236,4,121.979,5,129.014,3,111.035,247,103.338,67,25.6762,18
"2026","Alabama A&M",67.2989,232,65.3428,292,105.677,237,103.966,271,109.368,206,116.685,315,-12.7189,306
"2026","Alabama St.",71.2573,43,69.5241,71,100.207,323,99.2185,336,109.075,197,113.635,267,-14.4161,318
"2026","Albany",65.6388,312,65.234,296,105.064,251,103.186,282,113.107,294,118.224,332,-15.0377,324
"2026","Alcorn St.",69.424,120,67.269,185,96.1864,354,96.3391,349,114.543,319,116.484,312,-20.1454,346
"2026","American",66.6771,258,66.7022,220,108.209,180,105.571,240,108.732,188,111.925,234,-6.35382,238
"2026","Appalachian St.",64.0742,354,63.0127,358,107.633,193,105.867,231,104.81,86,108.147,147,-2.27979,195
"2026","Arizona",71.3814,37,69.8325,55,120.103,16,127.648,6,96.1136,5,90.0477,3,37.6002,2
"2026","Arizona St.",70.6155,73,69.256,77,108.14,181,115.762,78,110.793,238,103.267,66,12.4958,67
"2026","Arkansas",72.4168,19,71.041,20,122.567,3,127.65,5,109.1,200,101.639,48,26.0112,15
"2026","Arkansas Pine Bluff",71.2183,45,68.9256,94,104.075,269,104.012,270,114.367,315,117.311,326,-13.299,314
"2026","Arkansas St.",72.559,16,71.9834,10,111.347,114,110.664,144,106.411,119,109.189,173,1.47457,150
"2026","Army",67.2649,234,67.1055,195,103.083,287,100.069,322,115.171,327,118.534,335,-18.4647,337
"2026","Auburn",69.0558,145,67.2036,191,118.557,30,124.598,15,113.675,306,105.921,111,18.6778,38
"2026","Austin Peay",70.1198,89,69.3969,73,113.065,87,108.033,187,106.149,111,108.308,151,-0.274785,174
"2026","Ball St.",65.3444,321,63.7147,343,100.083,327,98.57,339,108.313,174,109.868,191,-11.2978,294
"2026","Baylor",69.6262,111,67.8296,151,116.367,48,122.925,25,111.773,265,106.961,128,15.9636,49
"2026","Bellarmine",66.14,290,64.6614,320,118.459,32,116.489,72,124.752,365,126.14,365,-9.6517,277
"2026","Belmont",69.969,97,68.9323,93,118.78,28,120.674,37,105.399,100,108.414,152,12.2595,69
"2026","Bethune Cookman",70.9259,58,69.0665,89,103.937,273,103.557,277,107.645,151,110.162,197,-6.60492,245
"2026","Binghamton",65.1072,331,65.3072,294,100.464,322,97.5364,343,115.158,326,123.111,361,-25.5745,359
"2026","Boise St.",66.5612,266,65.716,273,113.481,82,117.14,64,107.186,139,103.894,76,13.2458,60
"2026","Boston College",66.331,284,65.9832,259,99.9754,328,103.747,275,104.96,90,102.69,61,1.05676,157
"2026","Boston University",63.4459,361,63.1326,355,114.476,68,111.735,122,114.155,311,119.791,347,-8.05611,262
"2026","Bowling Green",70.1667,88,68.3584,125,109.23,153,107.263,206,102.681,55,105.733,108,1.52966,146
"2026","Bradley",67.8052,212,67.305,182,110.009,137,111.717,123,105.635,103,107.73,141,3.98623,124
"2026","Brown",66.6899,257,66.5311,228,98.7539,338,97.903,342,106.294,115,108.859,163,-10.9559,291
"2026","Bryant",64.4513,343,64.2241,335,96.4977,349,96.5322,347,112.613,282,119.631,346,-23.0983,355
"2026","Bucknell",66.9718,248,66.9036,206,99.4931,333,98.1468,340,112.509,277,114.807,291,-16.6599,331
"2026","Buffalo",67.5635,220,66.4912,230,113.805,75,112.468,113,112.71,286,115.261,298,-2.79349,201
"2026","Butler",70.0351,92,68.7052,106,111.297,116,116.077,75,109.414,208,106.607,122,9.47037,88
"2026","BYU",70.4428,78,69.9634,46,118.624,29,125.441,10,106.691,129,102.236,57,23.2054,23
"2026","Cal Baptist",67.4426,225,65.8401,266,106.986,208,107.931,191,99.1084,22,101.943,50,5.98866,107
"2026","Cal Poly",76.0992,1,74.0084,1,106.412,220,109.421,164,111.955,271,113.1,256,-3.67937,212
"2026","Cal St. Bakersfield",72.6288,14,70.0911,40,99.2966,336,101.882,304,114.658,320,117.215,321,-15.3327,327
"2026","Cal St. Fullerton",75.4547,2,72.8392,5,106.608,216,109.383,166,108.987,195,109.085,172,0.298064,168
"2026","California",69.2893,129,68.0401,136,110.603,128,114.034,94,104.941,88,102.62,59,11.4138,73
"2026","Campbell",70.0184,94,69.7599,59,108.471,174,111.261,131,112.57,280,112.652,251,-1.39176,181
"2026","Canisius",64.3232,349,64.2233,336,96.2957,352,95.2514,355,110.308,228,114.509,284,-19.2579,343
"2026","Central Arkansas",68.9259,156,67.9794,142,113.381,84,110.18,151,108.054,167,108.919,164,1.26134,152
"2026","Central Connecticut",65.189,328,65.0737,305,107.725,190,104.658,259,109.839,216,117.392,327,-12.7342,307
"2026","Central Michigan",68.3224,186,67.1469,193,104.938,252,105.967,230,113.889,308,114.981,292,-9.01421,269
"2026","Charleston",68.2796,189,67.6458,167,109.235,152,108.098,186,107.373,144,108.208,149,-0.109962,172
"2026","Charleston Southern",73.3305,10,71.5753,13,107.64,192,105.741,237,107.459,145,112.221,242,-6.48048,240
"2026","Charlotte",64.3769,347,63.4388,349,111.568,109,113.038,105,113.348,298,114.511,285,-1.47273,184
"2026","Chattanooga",67.5828,218,67.2243,188,109.832,141,105.391,246,115.673,332,117.645,328,-12.2545,301
"2026","Chicago St.",65.7649,306,65.3427,293,98.9773,337,99.3928,332,115.514,330,118.985,340,-19.5918,344
"2026","Cincinnati",69.158,138,67.5107,175,105.18,247,111.18,132,98.0606,15,93.7341,8,17.4461,44
"2026","Clemson",65.4573,318,64.2518,333,112.289,100,116.525,71,101.106,37,97.3136,21,19.2112,36
"2026","Cleveland St.",71.3754,38,69.7663,58,110.078,136,109.383,165,124.406,364,124.008,362,-14.6251,320
"2026","Coastal Carolina",68.3414,182,66.8569,211,102.729,295,101.789,305,105.255,97,108.596,159,-6.80739,247
"2026","Colgate",66.8786,250,66.8817,209,110.235,131,107.701,196,111.465,257,114.771,290,-7.07073,249
"2026","Colorado",70.0905,90,68.7045,107,113.132,86,118.88,53,112.691,285,106.814,125,12.0664,70
"2026","Colorado St.",64.3613,348,62.9857,360,116.73,47,119.007,52,111.589,260,109.459,185,9.54738,86
"2026","Columbia",67.129,238,66.7357,219,110.196,134,108.491,183,108.621,183,110.552,206,-2.06113,192
"2026","Connecticut",66.0567,294,64.4887,323,116.349,49,122.002,30,97.6819,11,94.1597,11,27.8418,11
"2026","Coppin St.",69.0598,144,68.0434,135,92.8163,362,92.0832,360,116.489,340,119.582,344,-27.4988,363
"2026","Cornell",71.2681,41,71.2532,18,119.521,21,119.786,48,117.622,345,119.424,343,0.361296,167
"2026","Creighton",68.5602,170,67.566,170,109.152,157,116.216,74,109.303,205,105.229,98,10.9868,76
"2026","CSUN",75.3302,3,73.5774,2,106.739,214,108.925,175,107.491,146,109.354,177,-0.428859,175
"2026","Dartmouth",69.1586,137,69.5424,69,105.227,245,104.733,257,112.623,283,114.198,278,-9.46528,275
"2026","Davidson",64.2368,351,63.8229,341,107.584,194,109.718,158,105.044,94,104.546,87,5.17233,113
"2026","Dayton",68.096,196,66.9153,205,108.407,176,110.542,146,101.374,39,99.6747,32,10.8674,78
"2026","Delaware",63.9676,355,63.1724,354,103.887,274,104.523,262,113.579,303,115.626,302,-11.1027,293
"2026","Delaware St.",66.0404,296,65.3444,291,89.7609,365,87.0666,365,107.211,140,114.283,282,-27.216,362
