Season,DayNum,WTeamID,LTeamID,WScore,LScore,team1Id,team2Id,winnerTeamId,y,team1Name,team2Name,team1_Short Conference Name,team1_Pre-Tournament.Tempo,team1_Pre-Tournament.RankTempo,team1_Pre-Tournament.AdjTempo,team1_Pre-Tournament.RankAdjTempo,team1_Pre-Tournament.OE,team1_Pre-Tournament.RankOE,team1_Pre-Tournament.AdjOE,team1_Pre-Tournament.RankAdjOE,team1_Pre-Tournament.DE,team1_Pre-Tournament.RankDE,team1_Pre-Tournament.AdjDE,team1_Pre-Tournament.RankAdjDE,team1_Pre-Tournament.AdjEM,team1_Pre-Tournament.RankAdjEM,team1_Mapped ESPN Team Name,team1_Seed,team1_Post-Season Tournament,team2_Short Conference Name,team2_Pre-Tournament.Tempo,team2_Pre-Tournament.RankTempo,team2_Pre-Tournament.AdjTempo,team2_Pre-Tournament.RankAdjTempo,team2_Pre-Tournament.OE,team2_Pre-Tournament.RankOE,team2_Pre-Tournament.AdjOE,team2_Pre-Tournament.RankAdjOE,team2_Pre-Tournament.DE,team2_Pre-Tournament.RankDE,team2_Pre-Tournament.AdjDE,team2_Pre-Tournament.RankAdjDE,team2_Pre-Tournament.AdjEM,team2_Pre-Tournament.RankAdjEM,team2_Mapped ESPN Team Name,team2_Seed,team2_Post-Season Tournament,Pre-Tournament.AdjDE_diff,Pre-Tournament.AdjEM_diff,Pre-Tournament.AdjOE_diff,Pre-Tournament.AdjTempo_diff,Pre-Tournament.DE_diff,Pre-Tournament.OE_diff,Pre-Tournament.RankAdjDE_diff,Pre-Tournament.RankAdjEM_diff,Pre-Tournament.RankAdjOE_diff,Pre-Tournament.RankAdjTempo_diff,Pre-Tournament.RankDE_diff,Pre-Tournament.RankOE_diff,Pre-Tournament.RankTempo_diff,Pre-Tournament.Tempo_diff,Seed_diff,teamFgPct,teamThreePtPct,teamFtPct,teamEFgPct,teamAstTo,oppFgPct,oppThreePtPct,oppFtPct,oppEFgPct,oppAstTo,fgPctDiff,threePtPctDiff,ftPctDiff,eFgPctDiff,astToDiff
2003,134,1421,1411,92,84,1411,1421,1421,0,Texas Southern,UNC Asheville,SWAC,70.8317,83.0,68.023,120.0,102.136,144.0,98.706,230.0,99.8966,143.0,108.445,277.0,-9.73895,256.0,Texas Southern,16.0,March Madness,BSth,69.782,121.0,67.655,134.0,100.382,184.0,100.943,194.0,110.119,315.0,114.311,319.0,-13.3682,287.0,UNC Asheville,16.0,March Madness,-5.866000000000014,3.629249999999999,-2.2369999999999948,0.367999999999995,-10.222399999999993,1.7539999999999907,-42.0,-31.0,36.0,-14.0,-172.0,-40.0,-38.0,1.0497000000000014,0.0,43.28,38.71,45.16,52.24,1.07,41.98,32.0,71.05,48.09,0.96,1.3,6.71,-25.89,4.15,0.11
2003,136,1112,1436,80,51,1112,1436,1112,1,Arizona,Vermont,P10,76.3024,4.0,73.0165,8.0,110.852,18.0,115.311,12.0,91.5901,11.0,88.8866,7.0,26.4243,4.0,Arizona,1.0,March Madness,AE,65.528,278.0,64.3012,278.0,102.973,122.0,101.723,178.0,95.5798,39.0,99.8857,116.0,1.8376,147.0,Vermont,16.0,March Madness,-10.999099999999999,24.5867,13.588000000000008,8.7153,-3.989699999999999,7.879000000000005,-109.0,-143.0,-166.0,-270.0,-28.0,-104.0,-274.0,10.7744,-15.0,45.76,37.35,77.92,51.48,1.39,31.25,25.0,100.0,34.38,0.71,14.51,12.35,-22.08,17.1,0.68
2003,136,1113,1272,84,71,1113,1272,1113,1,Arizona State,Memphis,P10,69.5967,129.0,66.8633,172.0,108.307,39.0,113.116,20.0,98.4177,105.0,96.3758,61.0,16.7407,29.0,Arizona State,10.0,March Madness,CUSA,70.417,99.0,68.3304,107.0,105.373,76.0,111.304,33.0,92.9988,19.0,93.4775,25.0,17.8261,25.0,Memphis,7.0,March Madness,2.898299999999992,-1.0854,1.8119999999999976,-1.467100000000002,5.418899999999994,2.9339999999999975,36.0,4.0,-13.0,65.0,86.0,-37.0,30.0,-0.8203000000000031,3.0,46.09,34.48,71.11,50.0,1.45,36.23,25.0,66.67,41.3,0.92,9.86,9.48,4.44,8.7,0.53
2003,136,1141,1166,79,73,1141,1166,1141,1,Central Michigan,Creighton,MAC,72.7987,36.0,71.9146,20.0,108.796,33.0,109.867,48.0,100.509,156.0,99.5025,109.0,10.3641,68.0,Central Michigan,11.0,March Madness,MVC,69.2061,144.0,68.4145,104.0,113.937,2.0,113.03,22.0,92.8474,17.0,94.7202,39.0,18.3096,23.0,Creighton,6.0,March Madness,4.782299999999992,-7.945499999999999,-3.1629999999999967,3.500099999999989,7.661600000000007,-5.140999999999991,70.0,45.0,26.0,-84.0,139.0,31.0,-108.0,3.5925999999999902,5.0,45.45,45.83,71.79,50.45,0.59,45.0,41.18,70.59,50.83,0.95,0.45,4.65,1.2,-0.38,-0.36
2003,136,1143,1301,76,74,1143,1301,1143,1,California,NC State,P10,69.6353,126.0,66.1487,204.0,105.448,75.0,109.401,56.0,98.8111,117.0,95.8149,55.0,13.5863,45.0,California,8.0,March Madness,ACC,67.1338,235.0,65.1859,251.0,107.362,52.0,111.017,37.0,100.932,170.0,97.9831,85.0,13.034,48.0,NC State,9.0,March Madness,-2.168199999999999,0.5522999999999989,-1.6159999999999997,0.9628000000000014,-2.120900000000006,-1.9140000000000015,-30.0,-3.0,19.0,-47.0,-53.0,23.0,-109.0,2.501500000000007,-1.0,46.55,33.33,60.0,51.72,1.05,44.64,42.86,75.0,52.68,1.14,1.91,-9.53,-15.0,-0.96,-0.09
2003,136,1163,1140,58,53,1140,1163,1163,0,BYU,UConn,MWC,66.1048,263.0,65.663,229.0,109.293,27.0,110.537,41.0,95.6204,41.0,92.3283,17.0,18.2088,24.0,BYU,12.0,March Madness,BE,73.461,28.0,71.1085,31.0,108.2,40.0,111.73,29.0,97.0242,69.0,93.3341,22.0,18.3956,22.0,UConn,5.0,March Madness,-1.0058000000000078,-0.18680000000000163,-1.1929999999999978,-5.44550000000001,-1.4037999999999897,1.0930000000000035,-5.0,2.0,12.0,198.0,-28.0,-13.0,235.0,-7.356200000000001,7.0,31.25,11.76,84.62,32.81,1.0,40.84,37.84,69.86,44.5,0.97,-9.59,-26.08,14.76,-11.69,0.03
2003,136,1181,1161,67,57,1161,1181,1181,0,Colorado State,Duke,MWC,68.3241,177.0,67.1579,161.0,107.759,45.0,111.597,30.0,106.412,276.0,105.323,224.0,6.27421,100.0,Colorado State,14.0,March Madness,ACC,73.2713,29.0,71.0877,33.0,111.275,15.0,116.213,9.0,95.6622,43.0,93.4116,23.0,22.8018,10.0,Duke,3.0,March Madness,11.911399999999986,-16.52759,-4.616,-3.9298,10.749800000000008,-3.5160000000000053,201.0,90.0,21.0,128.0,233.0,30.0,148.0,-4.947199999999995,11.0,33.33,27.27,81.82,36.11,0.42,44.44,44.44,76.36,51.46,0.71,-11.11,-17.17,5.46,-15.35,-0.29
2003,136,1211,1153,74,69,1153,1211,1211,0,Cincinnati,Gonzaga,CUSA,67.404,228.0,66.3686,189.0,100.765,173.0,105.459,109.0,92.6958,16.0,90.1252,11.0,15.3334,35.0,Cincinnati,8.0,March Madness,WCC,69.5545,130.0,67.2433,159.0,109.24,28.0,112.337,27.0,96.8176,63.0,97.3823,77.0,14.9545,37.0,Gonzaga,9.0,March Madness,-7.257099999999994,0.3788999999999998,-6.878,-0.8747000000000043,-4.121799999999993,-8.474999999999994,-66.0,-2.0,82.0,30.0,-47.0,145.0,98.0,-2.150500000000008,-1.0,39.39,37.04,70.0,46.97,1.3,43.55,38.64,75.86,50.4,1.39,-4.16,-1.6,-5.86,-3.43,-0.09
2003,136,1228,1443,65,60,1228,1443,1228,1,Illinois,Western Kentucky,B10,68.1292,185.0,68.2411,111.0,110.845,19.0,114.14,16.0,90.2064,8.0,89.1932,8.0,24.9472,5.0,Illinois,4.0,March Madness,SB,68.5639,167.0,67.5481,143.0,106.201,63.0,108.073,70.0,95.851,48.0,96.5019,62.0,11.5715,56.0,Western Kentucky,13.0,March Madness,-7.308700000000002,13.375699999999998,6.067000000000007,0.6929999999999978,-5.644599999999997,4.6440000000000055,-54.0,-51.0,-54.0,-32.0,-40.0,-44.0,18.0,-0.4347000000000065,-9.0,38.66,32.26,76.67,42.86,1.17,37.93,33.33,61.54,44.83,0.71,0.73,-1.07,15.13,-1.97,0.46
2003,136,1242,1429,64,61,1242,1429,1242,1,Kansas,Utah State,B12,74.3408,17.0,72.6511,12.0,109.554,25.0,114.003,17.0,89.2999,4.0,86.9009,3.0,27.1016,3.0,Kansas,2.0,March Madness,BW,60.9901,318.0,61.232,315.0,107.293,53.0,106.86,88.0,97.7196,83.0,100.121,120.0,6.73911,95.0,Utah State,15.0,March Madness,-13.220100000000002,20.36249,7.143000000000001,11.4191,-8.419700000000006,2.2609999999999957,-117.0,-92.0,-71.0,-303.0,-79.0,-28.0,-301.0,13.350700000000003,-13.0,50.52,30.43,57.48,54.15,1.21,41.07,35.29,90.0,46.43,1.0,9.45,-4.86,-32.52,7.72,0.21
