configId,modelFamily,threshold,fitSeconds,model,set,accuracy,precision,recall
39,xgboost,0.45,1.2946296999980405,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 1000, 'minChildWeight': 3, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
39,xgboost,0.5,1.2946296999980405,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 1000, 'minChildWeight': 3, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
39,xgboost,0.55,1.2946296999980405,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 1000, 'minChildWeight': 3, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
39,xgboost,0.45,1.2946296999980405,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 1000, 'minChildWeight': 3, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 1.0}",val,0.8095238095238095,0.7916666666666666,0.95
39,xgboost,0.5,1.2946296999980405,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 1000, 'minChildWeight': 3, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 1.0}",val,0.8095238095238095,0.7916666666666666,0.95
39,xgboost,0.55,1.2946296999980405,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 1000, 'minChildWeight': 3, 'maxDepth': 4, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 1.0}",val,0.7936507936507936,0.8,0.9
67,xgboost,0.45,2.926182399998652,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 7, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 6, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
67,xgboost,0.5,2.926182399998652,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 7, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 6, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
67,xgboost,0.55,2.926182399998652,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 7, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 6, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
67,xgboost,0.45,2.926182399998652,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 7, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 6, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.8}",val,0.8095238095238095,0.78,0.975
67,xgboost,0.5,2.926182399998652,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 7, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 1, 'maxDepth': 6, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.8}",val,0.7777777777777778,0.7708333333333334,0.925
