configId,modelFamily,threshold,fitSeconds,model,set,accuracy,precision,recall
0,xgboost,0.45,2.811881468999985,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 7, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
0,xgboost,0.5,2.811881468999985,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 7, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
0,xgboost,0.55,2.811881468999985,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 7, 'regAlpha': 0.5, 'nEstimators': 400, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.0, 'colsampleBytree': 0.8}",train,1.0,1.0,1.0
2,xgboost,0.45,1.1245750760000135,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 3, 'regAlpha': 0.0, 'nEstimators': 600, 'minChildWeight': 7, 'maxDepth': 3, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
2,xgboost,0.5,1.1245750760000135,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 3, 'regAlpha': 0.0, 'nEstimators': 600, 'minChildWeight': 7, 'maxDepth': 3, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
2,xgboost,0.55,1.1245750760000135,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 1.0, 'regLambda': 3, 'regAlpha': 0.0, 'nEstimators': 600, 'minChildWeight': 7, 'maxDepth': 3, 'learningRate': 0.1, 'gamma': 0.0, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
4,xgboost,0.45,3.0955090490000146,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 5, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.3, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
4,xgboost,0.5,3.0955090490000146,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 5, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.3, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
4,xgboost,0.55,3.0955090490000146,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.7, 'regLambda': 5, 'regAlpha': 0.1, 'nEstimators': 1000, 'minChildWeight': 5, 'maxDepth': 6, 'learningRate': 0.08, 'gamma': 0.3, 'colsampleBytree': 1.0}",train,1.0,1.0,1.0
6,xgboost,0.45,3.273795280999991,"{'modelFamily': 'xgboost', 'randomState': 226, 'subsample': 0.85, 'regLambda': 3, 'regAlpha': 0.5, 'nEstimators': 800, 'minChildWeight': 3, 'maxDepth': 8, 'learningRate': 0.1, 'gamma': 0.1, 'colsampleBytree': 0.6}",train,1.0,1.0,1.0
